,Time,Treatment,Treat,Feedback
284,3,MB,MB3,-0.183782477
285,3,MB,MB3,-0.150384197
286,3,MB,MB3,-0.159773937
287,3,MB,MB3,-0.092115289
288,3,MB,MB3,-0.115831816
289,3,MB,MB3,-0.050552279
290,3,MB,MB3,-0.112005058
291,3,MB,MB3,-0.112005058
292,3,MB,MB3,-0.014706147
293,3,MB,MB3,0.018692133
294,3,MB,MB3,0.009302393
295,3,MB,MB3,0.076961041
296,3,MB,MB3,0.053244515
297,3,MB,MB3,-0.078723156
298,3,MB,MB3,-0.140175935
299,3,MB,MB3,-0.140175935
300,3,MB,MB3,-0.042877024
301,3,MB,MB3,-0.009478744
302,3,MB,MB3,-0.018868484
303,3,MB,MB3,0.048790164
304,3,MB,MB3,0.025073638
305,3,MB,MB3,-0.099898153
306,3,MB,MB3,-0.161350932
307,3,MB,MB3,-0.161350932
308,3,MB,MB3,-0.064052021
309,3,MB,MB3,-0.030653741
310,3,MB,MB3,-0.040043481
311,3,MB,MB3,0.027615167
312,3,MB,MB3,0.00389864
313,3,MB,MB3,-0.084453831
314,3,MB,MB3,-0.14590661
315,3,MB,MB3,-0.14590661
316,3,MB,MB3,-0.048607699
317,3,MB,MB3,-0.015209419
318,3,MB,MB3,-0.024599159
319,3,MB,MB3,0.043059489
320,3,MB,MB3,0.019342963
321,3,MF,MF3,0.153473402
322,3,MF,MF3,-0.109619725
323,3,MF,MF3,-0.035932009
324,3,MF,MF3,-0.08378803
325,3,MF,MF3,0.047875948
326,3,MF,MF3,-0.055350095
327,3,MF,MF3,-0.059188871
328,3,MF,MF3,-0.093090423
329,3,MF,MF3,-0.158901283
330,3,MF,MF3,-0.42199441
331,3,MF,MF3,-0.348306694
332,3,MF,MF3,-0.396162715
333,3,MF,MF3,-0.264498737
334,3,MF,MF3,-0.36772478
335,3,MF,MF3,-0.371563556
336,3,MF,MF3,-0.405465108
337,3,MF,MF3,0.09272174
338,3,MF,MF3,-0.170371387
339,3,MF,MF3,-0.096683672
340,3,MF,MF3,-0.144539693
341,3,MF,MF3,-0.012875714
342,3,MF,MF3,-0.116101757
343,3,MF,MF3,-0.119940534
344,3,MF,MF3,-0.153842085
345,3,MF,MF3,0.122511177
346,3,MF,MF3,-0.140581951
347,3,MF,MF3,-0.066894235
348,3,MF,MF3,-0.114750256
349,3,MF,MF3,0.016913722
350,3,MF,MF3,-0.086312321
351,3,MF,MF3,-0.090151097
352,3,MF,MF3,-0.124052649
353,3,MF,MF3,0.032636929
354,3,MF,MF3,-0.230456198
355,3,MF,MF3,-0.156768482
356,3,MF,MF3,-0.204624504
357,3,MF,MF3,-0.072960525
358,3,MF,MF3,-0.176186568
359,3,MF,MF3,-0.180025345
360,3,MF,MF3,-0.213926896
361,3,MF,MF3,0.039494099
362,3,MF,MF3,-0.223599028
363,3,MF,MF3,-0.149911313
364,3,MF,MF3,-0.197767334
365,3,MF,MF3,-0.066103355
366,3,MF,MF3,-0.169329399
367,3,MF,MF3,-0.173168175
368,3,MF,MF3,-0.207069726
369,3,MF,MF3,-0.216059696
370,3,MF,MF3,-0.479152824
371,3,MF,MF3,-0.405465108
372,3,MF,MF3,-0.453321129
373,3,MF,MF3,-0.321657151
374,3,MF,MF3,-0.424883194
375,3,MF,MF3,-0.42872197
376,3,MF,MF3,-0.462623522
377,3,MF,MF3,0.086221175
378,3,MF,MF3,-0.176871952
379,3,MF,MF3,-0.103184236
380,3,MF,MF3,-0.151040257
381,3,MF,MF3,-0.019376279
382,3,MF,MF3,-0.122602322
383,3,MF,MF3,-0.126441098
384,3,MF,MF3,-0.16034265
394,4,MN,MN4,-0.195535896
393,4,MN,MN4,-0.164160773
402,4,MN,MN4,-0.15866536
396,4,MN,MN4,-0.15213658
397,4,MN,MN4,-0.15213658
395,4,MN,MN4,-0.148096171
400,4,MN,MN4,-0.148096171
398,4,MN,MN4,-0.13587606
401,4,MN,MN4,-0.127290238
404,4,MN,MN4,-0.115266045
405,4,MN,MN4,-0.115266045
403,4,MN,MN4,-0.111225635
408,4,MN,MN4,-0.111225635
399,4,MN,MN4,-0.106767975
406,4,MN,MN4,-0.099005524
407,4,MN,MN4,-0.06989744
410,4,MN,MN4,-0.063766618
418,4,MN,MN4,-0.055569851
426,4,MN,MN4,-0.051496526
434,4,MN,MN4,-0.039375165
409,4,MN,MN4,-0.032391496
417,4,MN,MN4,-0.024194729
412,4,MN,MN4,-0.020367303
413,4,MN,MN4,-0.020367303
425,4,MN,MN4,-0.020121403
442,4,MN,MN4,-0.019493795
411,4,MN,MN4,-0.016326893
416,4,MN,MN4,-0.016326893
386,4,MN,MN4,-0.015564517
420,4,MN,MN4,-0.012170536
421,4,MN,MN4,-0.012170536
419,4,MN,MN4,-0.008130126
424,4,MN,MN4,-0.008130126
428,4,MN,MN4,-0.00809721
429,4,MN,MN4,-0.00809721
433,4,MN,MN4,-0.008000043
414,4,MN,MN4,-0.004106782
427,4,MN,MN4,-0.004056801
432,4,MN,MN4,-0.004056801
436,4,MN,MN4,0.00402415
437,4,MN,MN4,0.00402415
422,4,MN,MN4,0.004089985
435,4,MN,MN4,0.00806456
440,4,MN,MN4,0.00806456
430,4,MN,MN4,0.008163311
441,4,MN,MN4,0.011881328
385,4,MN,MN4,0.015810606
438,4,MN,MN4,0.020284671
444,4,MN,MN4,0.023905521
445,4,MN,MN4,0.023905521
415,4,MN,MN4,0.025001302
388,4,MN,MN4,0.027834799
389,4,MN,MN4,0.027834799
443,4,MN,MN4,0.02794593
448,4,MN,MN4,0.02794593
387,4,MN,MN4,0.031875209
392,4,MN,MN4,0.031875209
423,4,MN,MN4,0.033198069
431,4,MN,MN4,0.037271395
446,4,MN,MN4,0.040166042
390,4,MN,MN4,0.04409532
439,4,MN,MN4,0.049392755
447,4,MN,MN4,0.069274126
391,4,MN,MN4,0.073203404
449,4,MB,MB4,-0.13507978
450,4,MB,MB4,-0.138683388
451,4,MB,MB4,-0.160036512
452,4,MB,MB4,-0.13507978
453,4,MB,MB4,-0.11686434
454,4,MB,MB4,-0.13507978
455,4,MB,MB4,-0.113181095
456,4,MB,MB4,-0.113181095
457,4,MB,MB4,-0.13507978
458,4,MB,MB4,-0.138683388
459,4,MB,MB4,-0.160036512
460,4,MB,MB4,-0.13507978
461,4,MB,MB4,-0.11686434
462,4,MB,MB4,-0.13507978
463,4,MB,MB4,-0.113181095
464,4,MB,MB4,-0.113181095
465,4,MB,MB4,-0.23038996
466,4,MB,MB4,-0.233993567
467,4,MB,MB4,-0.255346692
468,4,MB,MB4,-0.23038996
469,4,MB,MB4,-0.21217452
470,4,MB,MB4,-0.23038996
471,4,MB,MB4,-0.208491275
472,4,MB,MB4,-0.208491275
473,4,MB,MB4,-0.234945776
474,4,MB,MB4,-0.238549384
475,4,MB,MB4,-0.259902508
476,4,MB,MB4,-0.234945776
477,4,MB,MB4,-0.216730336
478,4,MB,MB4,-0.234945776
479,4,MB,MB4,-0.213047091
480,4,MB,MB4,-0.213047091
481,4,MB,MB4,-0.248739099
482,4,MB,MB4,-0.252342706
483,4,MB,MB4,-0.27369583
484,4,MB,MB4,-0.248739099
485,4,MB,MB4,-0.230523659
486,4,MB,MB4,-0.248739099
487,4,MB,MB4,-0.226840413
488,4,MB,MB4,-0.226840413
489,4,MB,MB4,-0.164431992
490,4,MB,MB4,-0.1680356
491,4,MB,MB4,-0.189388724
492,4,MB,MB4,-0.164431992
493,4,MB,MB4,-0.146216552
494,4,MB,MB4,-0.164431992
495,4,MB,MB4,-0.142533307
496,4,MB,MB4,-0.142533307
497,4,MB,MB4,-0.244120153
498,4,MB,MB4,-0.24772376
499,4,MB,MB4,-0.269076885
500,4,MB,MB4,-0.244120153
501,4,MB,MB4,-0.225904713
502,4,MB,MB4,-0.244120153
503,4,MB,MB4,-0.222221467
504,4,MB,MB4,-0.222221467
505,4,MB,MB4,-0.253379478
506,4,MB,MB4,-0.256983086
507,4,MB,MB4,-0.27833621
508,4,MB,MB4,-0.253379478
509,4,MB,MB4,-0.235164038
510,4,MB,MB4,-0.253379478
511,4,MB,MB4,-0.231480793
512,4,MB,MB4,-0.231480793
513,4,MF,MF4,-0.033576296
514,4,MF,MF4,-0.123727393
515,4,MF,MF4,-0.09752502
516,4,MF,MF4,-0.149260695
517,4,MF,MF4,-0.11506933
518,4,MF,MF4,-0.128028474
519,4,MF,MF4,-0.157628944
520,4,MF,MF4,-0.136575535
521,4,MF,MF4,0.014051753
522,4,MF,MF4,-0.076099344
523,4,MF,MF4,-0.049896971
524,4,MF,MF4,-0.101632646
525,4,MF,MF4,-0.067441281
526,4,MF,MF4,-0.080400425
527,4,MF,MF4,-0.110000895
528,4,MF,MF4,-0.088947486
529,4,MF,MF4,-0.11483926
530,4,MF,MF4,-0.204990357
531,4,MF,MF4,-0.178787984
532,4,MF,MF4,-0.230523659
533,4,MF,MF4,-0.196332294
534,4,MF,MF4,-0.209291439
535,4,MF,MF4,-0.238891908
536,4,MF,MF4,-0.217838499
537,4,MF,MF4,-0.048318577
538,4,MF,MF4,-0.138469674
539,4,MF,MF4,-0.112267302
540,4,MF,MF4,-0.164002976
541,4,MF,MF4,-0.129811612
542,4,MF,MF4,-0.142770756
543,4,MF,MF4,-0.172371226
544,4,MF,MF4,-0.151317817
545,4,MF,MF4,-0.048318577
546,4,MF,MF4,-0.138469674
547,4,MF,MF4,-0.112267302
548,4,MF,MF4,-0.164002976
549,4,MF,MF4,-0.129811612
550,4,MF,MF4,-0.142770756
551,4,MF,MF4,-0.172371226
552,4,MF,MF4,-0.151317817
553,4,MF,MF4,0.023311079
554,4,MF,MF4,-0.066840018
555,4,MF,MF4,-0.040637646
556,4,MF,MF4,-0.09237332
557,4,MF,MF4,-0.058181955
558,4,MF,MF4,-0.0711411
559,4,MF,MF4,-0.10074157
560,4,MF,MF4,-0.079688161
561,4,MF,MF4,0.032485455
562,4,MF,MF4,-0.057665642
563,4,MF,MF4,-0.031463269
564,4,MF,MF4,-0.083198944
565,4,MF,MF4,-0.049007579
566,4,MF,MF4,-0.061966724
567,4,MF,MF4,-0.091567194
568,4,MF,MF4,-0.070513784
569,4,MF,MF4,-0.11483926
570,4,MF,MF4,-0.204990357
571,4,MF,MF4,-0.178787984
572,4,MF,MF4,-0.230523659
573,4,MF,MF4,-0.196332294
574,4,MF,MF4,-0.209291439
575,4,MF,MF4,-0.238891908
576,4,MF,MF4,-0.217838499
